Gen_ACCESSCMT	Gen_COMMENTS	s_Generation	s_GUID	s_Lineage	ACCESSION	PARA_SPEC	PARA_GENUS	HOST_SPEC	HOST_GENUS	CLASS	BODY_LOC	HOSTTAXON	ORIGFLDNO	MUSEUMNO	FIXATIVE	STAINS	MOUNTANT	LOCAL_GEO	LOCAL_POL	LOCAL_MAP	LATDEG	LATMIN	LATSEC	LATDIR	LONGDEG	LONGMIN	LONGSEC	LONGDIR	TYPE_STAT	STORAGE_NO	COLLECTOR	COLL_DATE	IDENTIFIER	IDENT_DATE	DONOR	BORROWER	LOAN_DATE	Create_D	STAGE	SEX	COMMENTS	ACCESSCMT
1	1	1	{AAD2193F-8A0C-11D2-A88F-0080296707ED}		1418	BACILLARE =BACILLARIS	DISTOMUM =OPECHONA	SCOMBRUS	SCOMBER	DIGENEA								EUROPE	ITALY,TRIESTE										VOUCHER	133-F	STOSSICH, M		STOSSICH, M			0					1 vial, vouchers.	
1	1	1	{AAD32BF9-8A0C-11D2-A88F-0080296707ED}		16685	BIPUNCTATUS =SCORPII	BOTHRIOCEPHALUS	BUBALIS	COTTUS =TAURULUS	CESTODA	INTESTINE	Pisces: Scorpaeniformes: Cottidae						EUROPE	ENGLAND,PLYMOUTH										VOUCHER	1483-D	NICOLL	11-Sep-09	NICOLL			0					1 vial, voucher.    NOTE: Cottus bubalis =Taururlus bubalis FishBase May 2008.	
1	1	1	{AAD2303F-8A0C-11D2-A88F-0080296707ED}		9354	BRACHYDERUS =BRACHYDERA	DIHEMISTEPHANUS =MANTERIA	SAURUS	OLIGOPLITES	DIGENEA	INTESTINE		HWManter-G340					SOUTH AMERICA	ECUADOR,SAN FRANCISCO										TYPE	163-10	MANTER, H W		MANTER, H W	1940		0					sp. n., 1 slide, Type.  HWManter-G340.   Caballero, 1950 synonomized species under Manteria brachydera.	
1	1	1	{AAD250CE-8A0C-11D2-A88F-0080296707ED}		28096.01	BRASILIENSIS  =PUNCTATA	LIGA	AURATUS	COLAPTES	CESTODA	INTESTINE							NORTH AMERICA	USA,NJ,VINELAND										VOUCHER	M1549-1/4	BLACK, J J	29-Jul-29	JONES, Myrna F	20-Aug-29		0					4 slides, vouchers.  Mounted by Bona, 1990.   Also present: Raillietina sp. (slide 4).	
1	1	1	{AAD2241F-8A0C-11D2-A88F-0080296707ED}		4608.02	BRASILIENSIS =PUNCTATA	LIGA	AURATUS	COLAPTES	CESTODA								NORTH AMERICA	USA,MD,BOWIE										VOUCHER	377-3/5; 1114-B	RANSOM, B H	9-Oct-06	RANSOM, B H	1909		0					REDETERMINATION: 3 sliides, 1 vial.	
1	1	1	{AAD232E7-8A0C-11D2-A88F-0080296707ED}		10499	BULBOSA =LONGA	AZYGIA	CALVA	AMIA	DIGENEA								NORTH AMERICA	USA,IN,LAKE MAXINKUCKEE										PARATYPES	P60F;829-9/14		25-Jul-06	GOLDBERGER, J	25-Jul-08		0					sp. n., 1 vial, 6 slides, Cotypes=Paratypes.  (Syn. of A. longa.).  Pub Goldberger, 1911, Hyg Lab Bull 71: 7-35.  See 10498, 10501 for additional paratypes, and 10502 for type.	
1	1	1	{AAD232E9-8A0C-11D2-A88F-0080296707ED}		10501	BULBOSA =LONGA	AZYGIA	CALVA	AMIA	DIGENEA	STOMACH							NORTH AMERICA	USA,IN,LAKE MAXINKUCKEE										PARATYPES	829-15/20; P61-A		27-Aug-06	GOLDBERGER, J	25-Jul-08		0					sp. n., 1 vial, 6 slides, Paratypes.  (Syn. of A. longa.).  Pub Goldberger, 1911, Hyg Lab Bull 71: 7-35.  See 10498, 10499, for additional paratypes, and 10502 for the type.	
1	1	1	{AAD21951-8A0C-11D2-A88F-0080296707ED}		1436	BURSIGERUM =BRANDESU	HOLOSTOMUM =CARDIOCEPHALUS	FLAVIPES	LARUS	DIGENEA	INTESTINE																		COTYPE	471-10; T64-J	BERLIN MUSEUM		BRANDES	1888		0					sp. n., 1 slide, 1 vial, Cotype.	
1	1	1	{AAD25792-8A0C-11D2-A88F-0080296707ED}		29770	CANADENSIS  =COMPLEXUS	PARAMETORCHIS	VISON	MUSTELA	DIGENEA	LIVER							NORTH AMERICA	USA,NY,SERATOGA SPRINGS										VOUCHER	2590-C	HANSEN, K	1930	WETZEL, R; PRICE, E W	1930		0					1 vial, voucher.	
1	1	1	{AAD2579D-8A0C-11D2-A88F-0080296707ED}		29781	CANADENSIS  =COMPLEXUS	PARAMETORCHIS	VISON	MUSTELA	DIGENEA	LIVER							NORTH AMERICA	Canada,Ont,Kirkfield										VOUCHER	464-15	LAW, R G	1930	PRICE, E W	15-Oct-30		0					1 slide, voucher..	
1	1	1	{AAD2579E-8A0C-11D2-A88F-0080296707ED}		29782	CANADENSIS  =COMPLEXUS	PARAMETORCHIS	VISON	MUSTELA	DIGENEA	LIVER CYSTS							NORTH AMERICA	Canada,Ont,Kirkfield										VOUCHER	464-16/18	LAW, R G	1930	PRICE, E W	21-Oct-30		0					3 slides, vouchers.	
1	1	1	{AAD2579F-8A0C-11D2-A88F-0080296707ED}		29783	CANADENSIS  =COMPLEXUS	PARAMETORCHIS	VISON	MUSTELA	DIGENEA	LIVER							NORTH AMERICA	Canada,Ont,Kirkfield										VOUCHER	2614-B	LAW, R G	1930	PRICE, E W	21-Oct-30		0					1 slide, voucher.	
1	1	1	{AAD25F17-8A0C-11D2-A88F-0080296707ED}		31715	CANADENSIS  =COMPLEXUS	PARAMETORCHIS	VISON	MUSTELA	DIGENEA	LIVER							NORTH AMERICA	USA,NE,LINCOLN										VOUCHER	464-19/20	VAN ES, L	1931				0					2 slides, vouchers.    Yamaguti  lists  P. canadensis as a synonym of P. complexus.	
1	1	1	{AAD25F15-8A0C-11D2-A88F-0080296707ED}		31713	CANADENSIS  =COMPLEXUS	PARAMETORCHIS	VISON	MUSTELA	DIGENEA	GALL BLADDER							NORTH AMERICA	USA,NE,LINCOLN										VOUCHER	464-19	VAN ES, L	1931	PRICE, E W	29-Jun-31		0					1 slide, voucher.   Yamaguti lists P canadensis as a synonym of P. complexus.	
1	1	1	{AAD251E0-8A0C-11D2-A88F-0080296707ED}		28366	CANADENSIS  =CONFUSUS	PARAMETORCHIS	VISON	MUSTELA	DIGENEA	GALL BLADDER							NORTH AMERICA	CANADA,ONT,KIRKFIELD,EXPER FUR FARM										PARATYPES	T128-7/9	LAW, R G	2-Feb-29	PRICE, E W	27-Feb-29		0					sp. n., 3 slides, Paratypes.  (Original slides lost, vial specimens mounted by M. J. Kennedy 1982.)   See Kennedy, 1983, Proc Helm Soc Wash 50:312-317.	
1	1	1	{AAD219BB-8A0C-11D2-A88F-0080296707ED}		1544	CANINA =PISIFORMIS	TAENIA	FAMILIARIS	CANIS	CESTODA								NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	330-B; SH20-5	SOMMER, H O	04 APR 1896	SOMMER, H O	1896		0					2 vials, vouchers.	
1	1	1	{AAD24486-8A0C-11D2-A88F-0080296707ED}		25083	CAPENSIS  =HYRACIS	INERMICAPSIFER	CAPENSIS	PROCAVIA	CESTODA	LIVER							AFRICA	S. AFRICA										VOUCHER	2017-A	DU PLESIS, S	22-May-22	CHAPIN, E A	2-Oct-22		0					1 vial, voucher.  Tentative species ID.	
1	1	1	{AAD22CC9-8A0C-11D2-A88F-0080296707ED}		8472	CASUS =CASUM	STEPHANOCHASMUS =Stephanostomum	GRISEUS	NEOMAENIS	DIGENEA	INTESTINE							NORTH AMERICA	USA,FL,DRY TORTUGAS										SYNTYPES	M329-5/6	LINTON, E	Jul-06	LINTON, E	1910		0					sp. n., 2 slides, Syntypes, whole mount, sections.  Pub 1910, Carn Inst Wash Publ, 133: 1-98.   NOTE: McFarlane, 1936 synonomized species under Stephanostomum casum.	
1	1	1	{AAD22CCA-8A0C-11D2-A88F-0080296707ED}		8473	CASUS =casum	STEPHANOCHASMUS =Stephnanostomum	ANALIS	NEOMAENIS	DIGENEA	INTESTINE							NORTH AMERICA	USA,FL,DRY TORTUGAS										SYNTYPES	M329-7	LINTON, E	1-Jul-08	LINTON, E	1910		0					gen. n., sp. n., 1 slide, Syntypes.  Pub 1910, Carn Inst Wash Publ, 133: 1-98.   NOTE: McFarlane, 1936 synonomized species under Stephanostomum casum.	
1	1	1	{AAD22CCB-8A0C-11D2-A88F-0080296707ED}		8474	CASUS =casum	STEPHANOCHASMUS =Stephanostomum	STRIATUS	EPINEPHELUS	DIGENEA	INTESTINE							NORTH AMERICA	USA,FL,DRY TORTUGAS										SYNTYPES	M329-8	LINTON, E	4-Jul-07	LINTON, E	1910		0					gen. n., sp. n., 1 slide, Syntype.  Pub 1910, Carn Inst Wash Publ, 133: 1-98.  NOTE: McFarlane, 1936 synonomized species under Stephanostomum casum.	
1	1	1	{AAD22CCC-8A0C-11D2-A88F-0080296707ED}		8475	CASUS =casum	STEPHANOCHASMUS =Stephanostomum	CHRYSURUS	OCYURUS	DIGENEA	INTESTINE							NORTH AMERICA	USA,FL,DRY TORTUGAS										SYNTYPES	M329-9	LINTON, E	6-Jul-06	LINTON, E	1910		0					gen. n., sp. n., 1 slide, Syntype.  Pub. 1910, Carn Inst Wash Publ, 133: 1-98.   NOTE: McFarlane, 1936 synonomized species under Stephanostomum casum.	
1	1	1	{AAD22A6A-8A0C-11D2-A88F-0080296707ED}		7895	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	INTESTINE							NORTH AMERICA	USA,VA,HOLLINS,HOLLINS COLLEGE										VOUCHER	M337-E			CHAPIN, E A	14-Jun-26		0					1 vial, voucher.	
1	1	1	{AAD22A0A-8A0C-11D2-A88F-0080296707ED}		7803	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA								NORTH AMERICA	USA,TX,MOUNT BELVIEW										VOUCHER	M33-F	SHEARER, A R	22-Nov-23	CHAPIN, E A	1-Dec-23		0					1 vial, voucher.	
1	1	1	{AAD2391B-8A0C-11D2-A88F-0080296707ED}		17299	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							NORTH AMERICA	USA,TX,DALLAS										VOUCHER	1928-A	BISHOPP, F C	24-Aug-20	HALL, M C	7-Sep-20		0					1 vial, voucher.	
1	1	1	{AAD23DF4-8A0C-11D2-A88F-0080296707ED}		18486	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	1795-C	FOSTER, W D	11-Apr-17	FOSTER, W D	11-Apr-17		0					1 vial, voucher.	
1	1	1	{AAD23EF4-8A0C-11D2-A88F-0080296707ED}		18722	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	1828-B	FOSTER, W D	2-Nov-17	FOSTER, W D	2-Nov-17		0					1 vial, voucher.	
1	1	1	{AAD23F05-8A0C-11D2-A88F-0080296707ED}		18737	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	1834-B	GILTNER, L T	25-Jan-18	FOSTER, W D	25-Jan-18		0					1 vial, voucher.	
1	1	1	{AAD24255-8A0C-11D2-A88F-0080296707ED}		24549	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	DUODENUM							NORTH AMERICA	USA,SD,BROOKINGS										VOUCHER	1959-C	O'ROKE, E C	11-Feb-21	CHAPIN, E A	27-Apr-21		0					1 vial, voucher.	
1	1	1	{AAD2427C-8A0C-11D2-A88F-0080296707ED}		24588	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE; RECTUM							NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	1937-C	CHAPIN, E A	5-Nov-20	CHAPIN, E A	5-Nov-20		0					1 vial, voucher.	
1	1	1	{AAD2428A-8A0C-11D2-A88F-0080296707ED}		24600	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	VOMITED							NORTH AMERICA	USA,NJ,NEW EGYPT										VOUCHER	1940-A	GASKILL, T B	25-Nov-20	CHAPIN, E A	29-Nov-20		0					1 vial- 2 parafin blocks, vouchers.	
1	1	1	{AAD2470E-8A0C-11D2-A88F-0080296707ED}		25688	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							PACIFIC OCEAN	PHILIPPINES,LOS BANOS										VOUCHER	2078-B	SCHWARTZ, B	22-Nov-21	SCHWARTZ, B	21-Sep-23		0					1 vial, voucher.	
1	1	1	{AAD246FB-8A0C-11D2-A88F-0080296707ED}		25669	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							PACIFIC OCEAN	PHILIPPINES,LOS BANOS										VOUCHER	2074-C	SCHWARTZ, B	12-Jul-22	SCHWARTZ, B	20-Sep-23		0					1 vial, voucher.	
1	1	1	{AAD246FC-8A0C-11D2-A88F-0080296707ED}		25670	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							PACIFIC OCEAN	PHILIPPINES,LOS BANOS										VOUCHER	2074-D	SCHWARTZ, B	2-Nov-22	SCHWARTZ, B	20-Sep-23		0					1 vial, voucher.	
1	1	1	{AAD246FE-8A0C-11D2-A88F-0080296707ED}		25672	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							PACIFIC OCEAN	PHILIPPINES,LOS BANOS										VOUCHER	2075-A	SCHWARTZ, B	6-Feb-22	SCHWARTZ, B	20-Sep-23		0					1 vial, voucher.	
1	1	1	{AAD24700-8A0C-11D2-A88F-0080296707ED}		25674	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	STOMACH							PACIFIC OCEAN	PHILIPPINES,LOS BANOS										VOUCHER	2075-C	SCHWARTZ, B	20-Jul-22	SCHWARTZ, B	20-Sep-23		0					1 vial, voucher.	
1	1	1	{AAD2470A-8A0C-11D2-A88F-0080296707ED}		25684	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	INTESTINE							PACIFIC OCEAN	PHILIPPINES,LOS BANOS										VOUCHER	2077-C		1921	SCHWARTZ, B	21-Sep-23		0					1 vial, voucher.	
1	1	1	{AAD24503-8A0C-11D2-A88F-0080296707ED}		25200	CATI  =LEONINA	BELASCARIS =TOXOCARA	DOMESTICA	FELIS	NEMATODA	SM INTESTINE							NORTH AMERICA	USA,WASH.,D C										VOUCHER	2023-B	SHILLINGER, J E	9-Nov-02	HALL, M C	9-Nov-22		0			Larvae		1 vial, voucher, larvae.	
1	1	1	{AAD24879-8A0C-11D2-A88F-0080296707ED}		26028	CATI  =LEONINA	BELASCARIS =TOXOCARA	PANTHERA	FELIS	NEMATODA	INTESTINE							ASIA	VIETNAM,TONKIN										VOUCHER	2141-E	HOUDEMER, E		SCHWARTZ, B	25-Jun-24		0			Adult females		1 vial, vouchers, females only.  Old locality French IndoChina.	
1	1	1	{AAD24C40-8A0C-11D2-A88F-0080296707ED}		26963	CELLULOSAE  =SOLIUM	CYSTICERCUS  =TAENIA	SCROFA DOMESTICA	SUS	CESTODA	MUSCLE; TONGUE				Formalin			CENTRAL AMERICA	PANAMA,PENONOME										VOUCHER	2346-D	HALL, M C	21-Jun-26	PRICE, E W	4-Dec-26		0					1 vial, voucher. Original no. 44.	
1	1	1	{AAD24C41-8A0C-11D2-A88F-0080296707ED}		26964	CELLULOSAE  =SOLIUM	CYSTICERCUS  =TAENIA	SCROFA DOMESTICA	SUS	CESTODA	MUSCLE				Formalin			CENTRAL AMERICA	PANAMA,PANAMA CITY										VOUCHER	2346-E	MATTATALL, I C	Jun-26	PRICE, E W	4-Dec-26		0					1 vial, voucher. Original no. 71.	
